"freq
References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(1,2)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,1)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,2)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag"
1.00000000000000000000 MHz,-0.99999849629534964812 + j0.00173418771734382788 ,-0.00000000003093118783 - j0.00000002279050798422 ,-0.00000000003093118783 - j0.00000002279050798422 ,-0.99999951960217181579 + j0.00098020172668917475 
2.00000000000000000000 MHz,-0.99999398457298160903 + j0.00346854693179815109 ,-0.00000000049509470627 - j0.00000018238485198097 ,-0.00000000049509470627 - j0.00000018238485198097 ,-0.99999807811522833934 + j0.00196055242631023273 
3.00000000000000000000 MHz,-0.99998646300576865542 + j0.00520324944945283873 ,-0.00000000250806979229 - j0.00000061589110101120 ,-0.00000000250806979229 - j0.00000061589110101120 ,-0.99999567465769578778 + j0.00294120137366941795 
4.00000000000000000000 MHz,-0.99997592854223282810 + j0.00693846769573472182 ,-0.00000000793406315073 - j0.00000146102715731642 ,-0.00000000793406315073 - j0.00000146102715731642 ,-0.99999230775678715766 + j0.00392229844867617462 
5.00000000000000000000 MHz,-0.99996237689710365526 + j0.00867437502853235162 ,-0.00000001939330627082 - j0.00000285642910150353 ,-0.00000001939330627082 - j0.00000285642910150353 ,-0.99998797534287897637 + j0.00490399444229131821 
6.00000000000000000000 MHz,-0.99994580253801135239 + j0.01041114605549792009 ,-0.00000004027248276696 - j0.00000494196368152531 ,-0.00000004027248276696 - j0.00000494196368152531 ,-0.99998267474172430891 + j0.00588644136658049866 
7.00000000000000000000 MHz,-0.99992619866822507468 + j0.01214895695696896830 ,-0.00000007473825776789 - j0.00000785904637647259 ,-0.00000007473825776789 - j0.00000785904637647259 ,-0.99997640266434439926 + j0.00686979277029057308 
8.00000000000000000000 MHz,-0.99990355720533041772 + j0.01388798581599608867 ,-0.00000012775400329660 - j0.00001175096650950590 ,-0.00000012775400329660 - j0.00001175096650950592 ,-0.99996915519452911347 + j0.00785420406140962570 
9.00000000000000000000 MHz,-0.99987786875567796763 + j0.01562841295701781694 ,-0.00000020509983653534 - j0.00001676322093940120 ,-0.00000020509983653534 - j0.00001676322093940119 ,-0.99996092777385281458 + j0.00883983283822596839 
