"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -9.45918993051E+000, +0.00000000000E+000
+1.03300135415E+007, -1.05557646820E+001, +0.00000000000E+000
+1.06600270829E+007, -1.16564359049E+001, +0.00000000000E+000
+1.09900406244E+007, -1.27523196855E+001, +0.00000000000E+000
+1.13200541659E+007, -1.38714324597E+001, +0.00000000000E+000
+1.16500677073E+007, -1.50078543998E+001, +0.00000000000E+000
+1.19800812488E+007, -1.60758217577E+001, +0.00000000000E+000
+1.23100947902E+007, -1.71767654666E+001, +0.00000000000E+000
+1.26401083317E+007, -1.82316121667E+001, +0.00000000000E+000
+1.29701218732E+007, -1.93297427361E+001, +0.00000000000E+000
+1.33001354146E+007, -2.04087034043E+001, +0.00000000000E+000
+1.36849012851E+007, -2.16843975998E+001, +0.00000000000E+000
+1.41365215588E+007, -2.31985662656E+001, +0.00000000000E+000
+1.45881418326E+007, -2.46942984086E+001, +0.00000000000E+000
+1.50397621064E+007, -2.61569086677E+001, +0.00000000000E+000
+1.54913823801E+007, -2.76556462440E+001, +0.00000000000E+000
+1.59430026539E+007, -2.91214857769E+001, +0.00000000000E+000
+1.63946229277E+007, -3.05995455005E+001, +0.00000000000E+000
+1.68462432014E+007, -3.20829902385E+001, +0.00000000000E+000
+1.72978634752E+007, -3.36043816340E+001, +0.00000000000E+000
+1.77494837490E+007, -3.50786605332E+001, +0.00000000000E+000
+1.82011040227E+007, -3.65649073055E+001, +0.00000000000E+000
+1.87276523182E+007, -3.82879530191E+001, +0.00000000000E+000
+1.93456902047E+007, -4.02863508115E+001, +0.00000000000E+000
+1.99637280912E+007, -4.23138582545E+001, +0.00000000000E+000
+2.05817659777E+007, -4.43844639487E+001, +0.00000000000E+000
+2.11998038642E+007, -4.64104814146E+001, +0.00000000000E+000
+2.18178417507E+007, -4.84460998141E+001, +0.00000000000E+000
+2.24358796371E+007, -5.04319360576E+001, +0.00000000000E+000
+2.30539175236E+007, -5.19648099910E+001, +0.00000000000E+000
+2.36719554101E+007, -5.33106349007E+001, +0.00000000000E+000
+2.42899932966E+007, -5.47086509075E+001, +0.00000000000E+000
+2.49080311831E+007, -5.60709642222E+001, +0.00000000000E+000
+2.56286073276E+007, -5.76792773312E+001, +0.00000000000E+000
+2.64871426738E+007, -5.95844317867E+001, +0.00000000000E+000
+2.73456780199E+007, -6.15036335706E+001, +0.00000000000E+000
+2.82042133661E+007, -6.34253433924E+001, +0.00000000000E+000
+2.90627487122E+007, -6.53509337916E+001, +0.00000000000E+000
+2.99212840584E+007, -6.72617387090E+001, +0.00000000000E+000
+3.07798194045E+007, -6.92159470644E+001, +0.00000000000E+000
+3.16383547507E+007, -7.11436806285E+001, +0.00000000000E+000
+3.24968900968E+007, -7.30833769552E+001, +0.00000000000E+000
+3.33554254430E+007, -7.50239770139E+001, +0.00000000000E+000
+3.42139607891E+007, -7.69774485461E+001, +0.00000000000E+000
+3.50724961353E+007, -7.89064401827E+001, +0.00000000000E+000
+3.60871248653E+007, -8.12017042829E+001, +0.00000000000E+000
+3.72780488531E+007, -8.39071938711E+001, +0.00000000000E+000
+3.84689728409E+007, -8.66138788099E+001, +0.00000000000E+000
+3.96598968287E+007, -8.93419661613E+001, +0.00000000000E+000
+4.08508208165E+007, -9.20817756681E+001, +0.00000000000E+000
+4.20417448043E+007, -9.48248142385E+001, +0.00000000000E+000
+4.32326687921E+007, -9.75888569043E+001, +0.00000000000E+000
+4.44235927799E+007, -1.00346831894E+002, +0.00000000000E+000
+4.56145167677E+007, -1.03130673558E+002, +0.00000000000E+000
+4.68054407555E+007, -1.05953695880E+002, +0.00000000000E+000
+4.79963647433E+007, -1.08778528812E+002, +0.00000000000E+000
+4.93848741443E+007, -1.12087490927E+002, +0.00000000000E+000
+5.10146418655E+007, -1.15995474475E+002, +0.00000000000E+000
+5.26444095866E+007, -1.19931984564E+002, +0.00000000000E+000
+5.42741773077E+007, -1.23893893941E+002, +0.00000000000E+000
+5.59039450288E+007, -1.27882147467E+002, +0.00000000000E+000
+5.75337127499E+007, -1.31886712110E+002, +0.00000000000E+000
+5.91634804710E+007, -1.35931114801E+002, +0.00000000000E+000
+6.07932481921E+007, -1.39981925015E+002, +0.00000000000E+000
+6.24230159132E+007, -1.44096136038E+002, +0.00000000000E+000
+6.40527836343E+007, -1.48200699834E+002, +0.00000000000E+000
+6.56825513554E+007, -1.52404534440E+002, +0.00000000000E+000
+6.75827127641E+007, -1.57306587575E+002, +0.00000000000E+000
+6.98130338022E+007, -1.63169305281E+002, +0.00000000000E+000
+7.20433548403E+007, -1.69131992015E+002, +0.00000000000E+000
+7.42736758784E+007, -1.75233455386E+002, +0.00000000000E+000
+7.65039969165E+007, +1.78495982112E+002, +0.00000000000E+000
+7.87343179546E+007, +1.72034924818E+002, +0.00000000000E+000
+8.09646389927E+007, +1.65312506143E+002, +0.00000000000E+000
+8.31949600308E+007, +1.58330939034E+002, +0.00000000000E+000
+8.54252810689E+007, +1.51032745706E+002, +0.00000000000E+000
+8.76556021070E+007, +1.43335917809E+002, +0.00000000000E+000
+8.98859231451E+007, +1.35281052982E+002, +0.00000000000E+000
+9.24862752755E+007, +1.25386654344E+002, +0.00000000000E+000
+9.55384475996E+007, +1.13186231159E+002, +0.00000000000E+000
+9.85906199236E+007, +1.00600867111E+002, +0.00000000000E+000
+1.01642792248E+008, +8.80691197239E+001, +0.00000000000E+000
+1.04694964572E+008, +7.59762264967E+001, +0.00000000000E+000
+1.07747136896E+008, +6.46794594797E+001, +0.00000000000E+000
+1.10799309220E+008, +5.44416269402E+001, +0.00000000000E+000
+1.13851481544E+008, +4.52868825686E+001, +0.00000000000E+000
+1.16903653868E+008, +3.71334104594E+001, +0.00000000000E+000
+1.19955826192E+008, +2.99326172291E+001, +0.00000000000E+000
+1.23007998516E+008, +2.35243419011E+001, +0.00000000000E+000
+1.26566554737E+008, +1.69375053475E+001, +0.00000000000E+000
+1.30743422433E+008, +1.01738674832E+001, +0.00000000000E+000
+1.34920290129E+008, +4.27037321130E+000, +0.00000000000E+000
+1.39097157825E+008, -9.38377755796E-001, +0.00000000000E+000
+1.43274025521E+008, -5.58264881506E+000, +0.00000000000E+000
+1.47450893217E+008, -9.75195042417E+000, +0.00000000000E+000
+1.51627760913E+008, -1.35651977842E+001, +0.00000000000E+000
+1.55804628609E+008, -1.71373293875E+001, +0.00000000000E+000
+1.59981496305E+008, -2.03924000674E+001, +0.00000000000E+000
+1.64158364001E+008, -2.32900732241E+001, +0.00000000000E+000
+1.68335231697E+008, -2.62183295834E+001, +0.00000000000E+000
+1.73205080757E+008, -2.90838201407E+001, +0.00000000000E+000
+1.79007295527E+008, -3.23795882600E+001, +0.00000000000E+000
+1.84809510296E+008, -3.51307787023E+001, +0.00000000000E+000
+1.90611725066E+008, -3.85187313072E+001, +0.00000000000E+000
+1.96413939836E+008, -4.08669101402E+001, +0.00000000000E+000
+2.02216154605E+008, -4.31742164966E+001, +0.00000000000E+000
+2.08018369375E+008, -4.57097140588E+001, +0.00000000000E+000
+2.13820584145E+008, -4.84534736823E+001, +0.00000000000E+000
+2.19622798914E+008, -5.04072271357E+001, +0.00000000000E+000
+2.25425013684E+008, -5.18010902395E+001, +0.00000000000E+000
+2.31227228454E+008, -5.50495947238E+001, +0.00000000000E+000
+2.37029443223E+008, -5.74846748620E+001, +0.00000000000E+000
+2.43886579425E+008, -5.92670776000E+001, +0.00000000000E+000
+2.51935166804E+008, -6.20786598090E+001, +0.00000000000E+000
+2.59983754184E+008, -6.53749212803E+001, +0.00000000000E+000
+2.68032341563E+008, -6.90919950847E+001, +0.00000000000E+000
+2.76080928942E+008, -6.90496392972E+001, +0.00000000000E+000
+2.84129516321E+008, -7.39883773554E+001, +0.00000000000E+000
+2.92178103700E+008, -7.90992244267E+001, +0.00000000000E+000
+3.00226691079E+008, -8.37736179852E+001, +0.00000000000E+000
+3.08275278458E+008, -8.25463379132E+001, +0.00000000000E+000
+3.16323865838E+008, -9.31077645003E+001, +0.00000000000E+000
+3.24372453217E+008, -8.82610081933E+001, +0.00000000000E+000
+3.33756376419E+008, -1.09983836524E+002, +0.00000000000E+000
+3.44770788796E+008, -1.28110136591E+002, +0.00000000000E+000
+3.55785201173E+008, -1.40312218323E+002, +0.00000000000E+000
+3.66799613549E+008, -1.49619233780E+002, +0.00000000000E+000
+3.77814025926E+008, -1.45472321535E+002, +0.00000000000E+000
+3.88828438303E+008, -1.51737470773E+002, +0.00000000000E+000
+3.99842850680E+008, -1.61137218560E+002, +0.00000000000E+000
+4.10857263057E+008, -1.78967852036E+002, +0.00000000000E+000
+4.21871675433E+008, -1.63936623711E+002, +0.00000000000E+000
+4.32886087810E+008, -1.72480167942E+002, +0.00000000000E+000
+4.43900500187E+008, +1.76777182541E+002, +0.00000000000E+000
+4.56742306456E+008, +1.72792925373E+002, +0.00000000000E+000
+4.71815421065E+008, +1.62149132663E+002, +0.00000000000E+000
+4.86888535674E+008, +1.69739071412E+002, +0.00000000000E+000
