Freq S11, S12 S21 S22
1.00000000000000000000 MHz,-0.99999957366722169727 + j0.00092339881661820749 ,-0.00000000001855270125 - j0.00000002009174476893 ,-0.00000000001855270125 - j0.00000002009174476893 ,-0.99999957366722169727 + j0.00092339881661820749 
2.00000000000000000000 MHz,-0.99999829442496313003 + j0.00184692911043921808 ,-0.00000000029696421376 - j0.00000016078782103235 ,-0.00000000029696421376 - j0.00000016078782103235 ,-0.99999829442496313003 + j0.00184692911043921808 
3.00000000000000000000 MHz,-0.99999616154054316031 + j0.00277072262869056032 ,-0.00000000150440325756 - j0.00000054296213825078 ,-0.00000000150440325756 - j0.00000054296213825078 ,-0.99999616154054316031 + j0.00277072262869055988 
4.00000000000000000000 MHz,-0.99999317378978469506 + j0.00369491165988134309 ,-0.00000000475918583507 - j0.00000128802899390998 ,-0.00000000475918583507 - j0.00000128802899390998 ,-0.99999317378978469506 + j0.00369491165988134395 
5.00000000000000000000 MHz,-0.99998932945242946513 + j0.00461962930753301478 ,-0.00000001163335022167 - j0.00000251821635742053 ,-0.00000001163335022167 - j0.00000251821635742053 ,-0.99998932945242946513 + j0.00461962930753301478 
6.00000000000000000000 MHz,-0.99998462630567175324 + j0.00554500976764523389 ,-0.00000002415910779050 - j0.00000435684288902844 ,-0.00000002415910779050 - j0.00000435684288902844 ,-0.99998462630567175324 + j0.00554500976764523649 
7.00000000000000000000 MHz,-0.99997906161576755046 + j0.00647118861118750350 ,-0.00000004483721612896 - j0.00000692859998433406 ,-0.00000004483721612896 - j0.00000692859998433406 ,-0.99997906161576755046 + j0.00647118861118750176 
8.00000000000000000000 MHz,-0.99997263212765408191 + j0.00739830307294692558 ,-0.00000007664733507495 - j0.00001035984017480092 ,-0.00000007664733507495 - j0.00001035984017480092 ,-0.99997263212765408191 + j0.00739830307294692818 
9.00000000000000000000 MHz,-0.99996533405250931370 + j0.00832649234811320624 ,-0.00000012306044116372 - j0.00001477887326526061 ,-0.00000012306044116372 - j0.00001477887326526061 ,-0.99996533405250931370 + j0.00832649234811320624 
10.0000000000000000000 MHz,-0.99995716305315540673 + j0.00925589789804394554 ,-0.00000018805339170839 - j0.00002031627165150405 ,-0.00000018805339170839 - j0.00002031627165150405 ,-0.99995716305315540673 + j0.00925589789804394207 
11.0000000000000000000 MHz,-0.99994811422720142335 + j0.01018666376672768513 ,-0.00000027612574653053 - j0.00002710518633535702 ,-0.00000027612574653053 - j0.00002710518633535703 ,-0.99994811422720142335 + j0.01018666376672768513 
12.0000000000000000000 MHz,-0.99993818208779827739 + j0.01111893690954965548 ,-0.00000039231897341995 - j0.00003528167524209721 ,-0.00000039231897341995 - j0.00003528167524209720 ,-0.99993818208779827739 + j0.01111893690954966069 
13.0000000000000000000 MHz,-0.99992736054185937800 + j0.01205286753606671195 ,-0.00000054223818296705 - j0.00004498504554677949 ,-0.00000054223818296705 - j0.00004498504554677948 ,-0.99992736054185937800 + j0.01205286753606670848 
14.0000000000000000000 MHz,-0.99991564286558087815 + j0.01298860946861538079 ,-0.00000073207655973298 - j0.00005635821183329973 ,-0.00000073207655973298 - j0.00005635821183329973 ,-0.99991564286558087815 + j0.01298860946861537212 
15.0000000000000000000 MHz,-0.99990302167707123537 + j0.01392632051871128644 ,-0.00000096864268009081 - j0.00006954807204435984 ,-0.00000096864268009081 - j0.00006954807204435985 ,-0.99990302167707123537 + j0.01392632051871127603 
16.0000000000000000000 MHz,-0.99988948890587381335 + j0.01486616288335118781 ,-0.00000125939093280964 - j0.00008470590333366875 ,-0.00000125939093280964 - j0.00008470590333366880 ,-0.99988948890587381335 + j0.01486616288335118087 
17.0000000000000000000 MHz,-0.99987503575913772025 + j0.01580830356350316351 ,-0.00000161245528693077 - j0.00010198778010577570 ,-0.00000161245528693077 - j0.00010198778010577568 ,-0.99987503575913772025 + j0.01580830356350316351 
18.0000000000000000000 MHz,-0.99985965268416054919 + j0.01675291480726762844 ,-0.00000203668668312009 - j0.00012155501672625276 ,-0.00000203668668312008 - j0.00012155501672625272 ,-0.99985965268416054919 + j0.01675291480726763191 
19.0000000000000000000 MHz,-0.99984332932699315766 + j0.01770017458041532599 ,-0.00000254169435995217 - j0.00014357463760826853 ,-0.00000254169435995217 - j0.00014357463760826853 ,-0.99984332932699315766 + j0.01770017458041531905 
20.0000000000000000000 MHz,-0.99982605448675232473 + j0.01865026706726077496 ,-0.00000313789146603910 - j0.00016821987763408002 ,-0.00000313789146603910 - j0.00016821987763408002 ,-0.99982605448675232473 + j0.01865026706726077149 
21.0000000000000000000 MHz,-0.99980781606525015448 + j0.01960338320511514562 ,-0.00000383654535319298 - j0.00019567071615527468 ,-0.00000383654535319299 - j0.00019567071615527476 ,-0.99980781606525015448 + j0.01960338320511512480 
22.0000000000000000000 MHz,-0.99978860101149169548 + j0.02055972125588458738 ,-0.00000464983299563605 - j0.00022611444813793152 ,-0.00000464983299563605 - j0.00022611444813793155 ,-0.99978860101149169548 + j0.02055972125588458738 
23.0000000000000000000 MHz,-0.99976839526054128715 + j0.02151948741874475102 ,-0.00000559090203649139 - j0.00025974629638311048 ,-0.00000559090203649139 - j0.00025974629638311043 ,-0.99976839526054128715 + j0.02151948741874475796 
24.0000000000000000000 MHz,-0.99974718366619264032 + j0.02248289648823341078 ,-0.00000667393802638338 - j0.00029677006916486342 ,-0.00000667393802638338 - j0.00029677006916486336 ,-0.99974718366619264032 + j0.02248289648823341078 
25.0000000000000000000 MHz,-0.99972494992680582815 + j0.02345017256256937480 ,-0.00000791423849109141 - j0.00033739886809379871 ,-0.00000791423849109141 - j0.00033739886809379849 ,-0.99972494992680582815 + j0.02345017256256938173 
26.0000000000000000000 MHz,-0.99970167650359065270 + j0.02442154980753340546 ,-0.00000932829454716887 - j0.00038185585154171269 ,-0.00000932829454716886 - j0.00038185585154171259 ,-0.99970167650359065270 + j0.02442154980753340893 
27.0000000000000000000 MHz,-0.99967734453052681243 + j0.02539727328184426466 ,-0.00001093388087782031 - j0.00043037505956067685 ,-0.00001093388087782030 - j0.00043037505956067669 ,-0.99967734453052681243 + j0.02539727328184426466 
28.0000000000000000000 MHz,-0.99965193371499994068 + j0.02637759983064203936 ,-0.00001275015498795492 - j0.00048320230690848426 ,-0.00001275015498795493 - j0.00048320230690848426 ,-0.99965193371499994068 + j0.02637759983064205324 
29.0000000000000000000 MHz,-0.99962542222811245907 + j0.02736279905446174429 ,-0.00001479776677935390 - j0.00054059615156340447 ,-0.00001479776677935391 - j0.00054059615156340447 ,-0.99962542222811245907 + j0.02736279905446175123 
30.0000000000000000000 MHz,-0.99959778658349007774 + j0.02835315436195741390 ,-0.00001709897962684039 - j0.00060282894698866448 ,-0.00001709897962684040 - j0.00060282894698866448 ,-0.99959778658349007774 + j0.02835315436195740002 
31.0000000000000000000 MHz,-0.99956900150324012877 + j0.02934896411563755331 ,-0.00001967780429721805 - j0.00067018798740723902 ,-0.00001967780429721804 - j0.00067018798740723891 ,-0.99956900150324012877 + j0.02934896411563755331 
32.0000000000000000000 MHz,-0.99953903976953639710 + j0.03035054288101457498 ,-0.00002256014723810051 - j0.00074297675648945518 ,-0.00002256014723810050 - j0.00074297675648945496 ,-0.99953903976953639710 + j0.03035054288101458539 
33.0000000000000000000 MHz,-0.99950787206008706587 + j0.03135822279087625841 ,-0.00002577397497779994 - j0.00082151629116194818 ,-0.00002577397497779993 - j0.00082151629116194828 ,-0.99950787206008706587 + j0.03135822279087625147 
34.0000000000000000000 MHz,-0.99947546676549992029 + j0.03237235503788511715 ,-0.00002934949662520651 - j0.00090614667374311396 ,-0.00002934949662520652 - j0.00090614667374311439 ,-0.99947546676549992029 + j0.03237235503788511021 
35.0000000000000000000 MHz,-0.99944178978626485588 + j0.03339331151042847917 ,-0.00003331936674605881 - j0.00099722866732837763 ,-0.00003331936674605881 - j0.00099722866732837785 ,-0.99944178978626485588 + j0.03339331151042848611 
36.0000000000000000000 MHz,-0.99940680430674588841 + j0.03442148658861972355 ,-0.00003771891122636616 - j0.00109514551132534432 ,-0.00003771891122636613 - j0.00109514551132534410 ,-0.99940680430674588841 + j0.03442148658861972355 
37.0000000000000000000 MHz,-0.99937047054318017825 + j0.03545729911962942904 ,-0.00004258637912361215 - j0.00120030489631775777 ,-0.00004258637912361214 - j0.00120030489631775821 ,-0.99937047054318017825 + j0.03545729911962942904 
38.0000000000000000000 MHz,-0.99933274546222827794 + j0.03650119459415853557 ,-0.00004796322396213513 - j0.00131314114007027318 ,-0.00004796322396213515 - j0.00131314114007027361 ,-0.99933274546222827794 + j0.03650119459415852863 
39.0000000000000000000 MHz,-0.99929358246608535055 + j0.03755364754891501317 ,-0.00005389441846329324 - j0.00143411758953536426 ,-0.00005389441846329322 - j0.00143411758953536361 ,-0.99929358246608535055 + j0.03755364754891502010 
40.0000000000000000000 MHz,-0.99925293103953372054 + j0.03861516422349473704 ,-0.00006042880732888204 - j0.00156372927726328831 ,-0.00006042880732888200 - j0.00156372927726328788 ,-0.99925293103953372054 + j0.03861516422349475092 
