"freq
References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(1,2)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,1)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,2)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag"
1.00000000000000000000 MHz,-0.99118236724096364654 + j0.00058476888480676469 ,0.00000011993748880941 + j0.00000002834314174319 ,0.00000011993748880941 + j0.00000002834314174319 ,-0.99118236724096353552 + j0.00058476888480676491 
2.00000000000000000000 MHz,-0.99118170230311675173 + j0.00116954475833306129 ,0.00000011349139293668 + j0.00000005637144088533 ,0.00000011349139293668 + j0.00000005637144088533 ,-0.99118170230311675173 + j0.00116954475833306107 
3.00000000000000000000 MHz,-0.99118059403807057262 + j0.00175433460957225744 ,0.00000010274577136505 + j0.00000008377001783501 ,0.00000010274577136505 + j0.00000008377001783501 ,-0.99118059403807057262 + j0.00175433460957225788 
4.00000000000000000000 MHz,-0.99117904239286902524 + j0.00233914542806542333 ,0.00000008769743093692 + j0.00000011022391901409 ,0.00000008769743093692 + j0.00000011022391901409 ,-0.99117904239286902524 + j0.00233914542806542159 
5.00000000000000000000 MHz,-0.99117704729336697511 + j0.00292398420417522547 ,0.00000006834190026757 + j0.00000013541807984958 ,0.00000006834190026757 + j0.00000013541807984957 ,-0.99117704729336697511 + j0.00292398420417522634 
6.00000000000000000000 MHz,-0.99117460864422313183 + j0.00350885792935991042 ,0.00000004467342878067 + j0.00000015903728774756 ,0.00000004467342878067 + j0.00000015903728774756 ,-0.99117460864422313183 + j0.00350885792935991042 
7.00000000000000000000 MHz,-0.99117172632889116723 + j0.00409377359644735091 ,0.00000001668498546792 + j0.00000018076614504353 ,0.00000001668498546792 + j0.00000018076614504353 ,-0.99117172632889116723 + j0.00409377359644735005 
8.00000000000000000000 MHz,-0.99116840020960850222 + j0.00467873819990922285 ,-0.00000001563174262778 + j0.00000020028903192286 ,-0.00000001563174262778 + j0.00000020028903192286 ,-0.99116840020960850222 + j0.00467873819990922112 
9.00000000000000000000 MHz,-0.99116463012738398319 + j0.00526375873613530321 ,-0.00000005228635220581 + j0.00000021729006930575 ,-0.00000005228635220581 + j0.00000021729006930575 ,-0.99116463012738398319 + j0.00526375873613530408 
10.0000000000000000000 MHz,-0.99116041590198256106 + j0.00584884220370792459 ,-0.00000009328972577867 + j0.00000023145308169046 ,-0.00000009328972577867 + j0.00000023145308169046 ,-0.99116041590198256106 + j0.00584884220370792546 
11.0000000000000000000 MHz,-0.99115575733190863783 + j0.00643399560367661355 ,-0.00000013865403402052 + j0.00000024246155994904 ,-0.00000013865403402052 + j0.00000024246155994904 ,-0.99115575733190863783 + j0.00643399560367661355 
12.0000000000000000000 MHz,-0.99115065419438719285 + j0.00701922593983290728 ,-0.00000018839273839429 + j0.00000024999862406939 ,-0.00000018839273839429 + j0.00000024999862406939 ,-0.99115065419438719285 + j0.00701922593983290988 
13.0000000000000000000 MHz,-0.99114510624534302163 + j0.00760454021898542085 ,-0.00000024252059405792 + j0.00000025374698583785 ,-0.00000024252059405792 + j0.00000025374698583785 ,-0.99114510624534302163 + j0.00760454021898542085 
14.0000000000000000000 MHz,-0.99113911321937786525 + j0.00818994545123513315 ,-0.00000030105365305060 + j0.00000025338891145614 ,-0.00000030105365305060 + j0.00000025338891145614 ,-0.99113911321937786525 + j0.00818994545123512968 
15.0000000000000000000 MHz,-0.99113267482974565237 + j0.00877544865025094503 ,-0.00000036400926775983 + j0.00000024860618408674 ,-0.00000036400926775983 + j0.00000024860618408674 ,-0.99113267482974565237 + j0.00877544865025094503 
16.0000000000000000000 MHz,-0.99112579076832518776 + j0.00936105683354553769 ,-0.00000043140609467035 + j0.00000023908006632063 ,-0.00000043140609467035 + j0.00000023908006632063 ,-0.99112579076832518776 + j0.00936105683354553769 
17.0000000000000000000 MHz,-0.99111846070559206368 + j0.00994677702275151981 ,-0.00000050326409839587 + j0.00000022449126256133 ,-0.00000050326409839587 + j0.00000022449126256133 ,-0.99111846070559217470 + j0.00994677702275151981 
18.0000000000000000000 MHz,-0.99111068429058746254 + j0.01053261624389791040 ,-0.00000057960455599477 + j0.00000020451988131922 ,-0.00000057960455599477 + j0.00000020451988131922 ,-0.99111068429058746254 + j0.01053261624389791387 
19.0000000000000000000 MHz,-0.99110246115088507235 + j0.01111858152768700064 ,-0.00000066045006157090 + j0.00000017884539740992 ,-0.00000066045006157090 + j0.00000017884539740992 ,-0.99110246115088507235 + j0.01111858152768700064 
20.0000000000000000000 MHz,-0.99109379089255633666 + j0.01170467990977156966 ,-0.00000074582453116083 + j0.00000014714661405074 ,-0.00000074582453116083 + j0.00000014714661405074 ,-0.99109379089255633666 + j0.01170467990977156966 
21.0000000000000000000 MHz,-0.99108467310013370621 + j0.01229091843103248191 ,-0.00000083575320790880 + j0.00000010910162484907 ,-0.00000083575320790880 + j0.00000010910162484907 ,-0.99108467310013370621 + j0.01229091843103248365 
22.0000000000000000000 MHz,-0.99107510733657144808 + j0.01287730413785676854 ,-0.00000093026266753088 + j0.00000006438777567642 ,-0.00000093026266753088 + j0.00000006438777567642 ,-0.99107510733657144808 + j0.01287730413785676854 
23.0000000000000000000 MHz,-0.99106509314320478943 + j0.01346384408241607655 ,-0.00000102938082406978 + j0.00000001268162642201 ,-0.00000102938082406978 + j0.00000001268162642201 ,-0.99106509314320478943 + j0.01346384408241607308 
24.0000000000000000000 MHz,-0.99105463003970672986 + j0.01405054532294565395 ,-0.00000113313693594195 - j0.00000004634108738026 ,-0.00000113313693594195 - j0.00000004634108738026 ,-0.99105463003970672986 + j0.01405054532294565395 
25.0000000000000000000 MHz,-0.99104371752404285534 + j0.01463741492402377033 ,-0.00000124156161227859 - j0.00000011300549305783 ,-0.00000124156161227860 - j0.00000011300549305783 ,-0.99104371752404285534 + j0.01463741492402377206 
26.0000000000000000000 MHz,-0.99103235507242459779 + j0.01522445995685169258 ,-0.00000135468681956237 - j0.00000018763761944465 ,-0.00000135468681956237 - j0.00000018763761944465 ,-0.99103235507242459779 + j0.01522445995685168911 
27.0000000000000000000 MHz,-0.99102054213925938608 + j0.01581168749953415845 ,-0.00000147254588856163 - j0.00000027056443567181 ,-0.00000147254588856163 - j0.00000027056443567181 ,-0.99102054213925938608 + j0.01581168749953416192 
28.0000000000000000000 MHz,-0.99100827815710001989 + j0.01639910463736044335 ,-0.00000159517352156402 - j0.00000036211389011009 ,-0.00000159517352156402 - j0.00000036211389011009 ,-0.99100827815710001989 + j0.01639910463736044335 
29.0000000000000000000 MHz,-0.99099556253659049077 + j0.01698671846308597716 ,-0.00000172260579991167 - j0.00000046261494947063 ,-0.00000172260579991167 - j0.00000046261494947063 ,-0.99099556253659049077 + j0.01698671846308597716 
30.0000000000000000000 MHz,-0.99098239466641113715 + j0.01757453607721460101 ,-0.00000185488019183971 - j0.00000057239763807024 ,-0.00000185488019183971 - j0.00000057239763807024 ,-0.99098239466641113715 + j0.01757453607721460448 
31.0000000000000000000 MHz,-0.99096877391322069073 + j0.01816256458828142961 ,-0.00000199203556062064 - j0.00000069179307726773 ,-0.00000199203556062064 - j0.00000069179307726773 ,-0.99096877391322069073 + j0.01816256458828142961 
32.0000000000000000000 MHz,-0.99095469962159665744 + j0.01875081111313632934 ,-0.00000213411217301656 - j0.00000082113352507783 ,-0.00000213411217301656 - j0.00000082113352507783 ,-0.99095469962159665744 + j0.01875081111313632587 
33.0000000000000000000 MHz,-0.99094017111397347808 + j0.01933928277722817002 ,-0.00000228115170804175 - j0.00000096075241596905 ,-0.00000228115170804175 - j0.00000096075241596905 ,-0.99094017111397347808 + j0.01933928277722817349 
34.0000000000000000000 MHz,-0.99092518769057869044 + j0.01992798671488966653 ,-0.00000243319726603794 - j0.00000111098440085226 ,-0.00000243319726603794 - j0.00000111098440085226 ,-0.99092518769057869044 + j0.01992798671488966653 
35.0000000000000000000 MHz,-0.99090974862936642698 + j0.02051693006962300100 ,-0.00000259029337806488 - j0.00000127216538726640 ,-0.00000259029337806488 - j0.00000127216538726640 ,-0.99090974862936642698 + j0.02051693006962300100 
36.0000000000000000000 MHz,-0.99089385318594969121 + j0.02110611999438618755 ,-0.00000275248601560871 - j0.00000144463257976811 ,-0.00000275248601560871 - j0.00000144463257976811 ,-0.99089385318594969121 + j0.02110611999438618061 
37.0000000000000000000 MHz,-0.99087750059352941445 + j0.02169556365188017241 ,-0.00000291982260061099 - j0.00000162872452053185 ,-0.00000291982260061099 - j0.00000162872452053185 ,-0.99087750059352941445 + j0.02169556365188017241 
38.0000000000000000000 MHz,-0.99086069006282240235 + j0.02228526821483677034 ,-0.00000309235201582105 - j0.00000182478113016741 ,-0.00000309235201582105 - j0.00000182478113016741 ,-0.99086069006282240235 + j0.02228526821483677034 
39.0000000000000000000 MHz,-0.99084342078198606174 + j0.02287524086630739195 ,-0.00000327012461547455 - j0.00000203314374876140 ,-0.00000327012461547455 - j0.00000203314374876140 ,-0.99084342078198606174 + j0.02287524086630739195 
40.0000000000000000000 MHz,-0.99082569191654146223 + j0.02346548879995261072 ,-0.00000345319223630139 - j0.00000225415517714973 ,-0.00000345319223630139 - j0.00000225415517714973 ,-0.99082569191654146223 + j0.02346548879995261072 
41.0000000000000000000 MHz,-0.99080750260929451034 + j0.02405601922033257303 ,-0.00000364160820886584 - j0.00000248815971842794 ,-0.00000364160820886584 - j0.00000248815971842794 ,-0.99080750260929451034 + j0.02405601922033257303 
42.0000000000000000000 MHz,-0.99078885198025412606 + j0.02464683934319840397 ,-0.00000383542736924222 - j0.00000273550321970620 ,-0.00000383542736924222 - j0.00000273550321970620 ,-0.99078885198025412606 + j0.02464683934319840397 
43.0000000000000000000 MHz,-0.99076973912654886512 + j0.02523795639578432781 ,-0.00000403470607102929 - j0.00000299653311411619 ,-0.00000403470607102929 - j0.00000299653311411619 ,-0.99076973912654886512 + j0.02523795639578432087 
44.0000000000000000000 MHz,-0.99075016312234065463 + j0.02582937761710095773 ,-0.00000423950219770684 - j0.00000327159846307671 ,-0.00000423950219770684 - j0.00000327159846307671 ,-0.99075016312234065463 + j0.02582937761710095773 
45.0000000000000000000 MHz,-0.99073012301873719654 + j0.02642111025822934528 ,-0.00000444987517533787 - j0.00000356104999882535 ,-0.00000444987517533787 - j0.00000356104999882534 ,-0.99073012301873719654 + j0.02642111025822934875 
