"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, -5.19584570765E+001, +0.00000000000E+000
+5.99500000000E+006, -5.52720915109E+001, +0.00000000000E+000
+1.09900000000E+007, -5.66509433764E+001, +0.00000000000E+000
+1.59850000000E+007, -5.86502768075E+001, +0.00000000000E+000
+2.09800000000E+007, -5.60344585656E+001, +0.00000000000E+000
+2.59750000000E+007, -6.41624942725E+001, +0.00000000000E+000
+3.09700000000E+007, -6.07527972786E+001, +0.00000000000E+000
+3.59650000000E+007, -6.26024690637E+001, +0.00000000000E+000
+4.09600000000E+007, -6.16805303666E+001, +0.00000000000E+000
+4.59550000000E+007, -6.09910701116E+001, +0.00000000000E+000
+5.09500000000E+007, -6.17302556194E+001, +0.00000000000E+000
+5.59450000000E+007, -6.29184067199E+001, +0.00000000000E+000
+6.09400000000E+007, -6.32001206373E+001, +0.00000000000E+000
+6.59350000000E+007, -6.48088914629E+001, +0.00000000000E+000
+7.09300000000E+007, -7.30539471714E+001, +0.00000000000E+000
+7.59250000000E+007, -7.17374463990E+001, +0.00000000000E+000
+8.09200000000E+007, -7.90932083113E+001, +0.00000000000E+000
+8.59150000000E+007, -7.10509674603E+001, +0.00000000000E+000
+9.09100000000E+007, -7.17556575636E+001, +0.00000000000E+000
+9.59050000000E+007, -6.67349275124E+001, +0.00000000000E+000
+1.00900000000E+008, -6.74427077978E+001, +0.00000000000E+000
+1.05895000000E+008, -8.28861085040E+001, +0.00000000000E+000
+1.10890000000E+008, -8.09503440729E+001, +0.00000000000E+000
+1.15885000000E+008, -7.60682385368E+001, +0.00000000000E+000
+1.20880000000E+008, -7.89387978250E+001, +0.00000000000E+000
+1.25875000000E+008, -7.87652295165E+001, +0.00000000000E+000
+1.30870000000E+008, -7.31969062333E+001, +0.00000000000E+000
+1.35865000000E+008, -6.84954304164E+001, +0.00000000000E+000
+1.40860000000E+008, -6.85594684855E+001, +0.00000000000E+000
+1.45855000000E+008, -7.42197270489E+001, +0.00000000000E+000
+1.50850000000E+008, -7.12446475373E+001, +0.00000000000E+000
+1.55845000000E+008, -7.70641620170E+001, +0.00000000000E+000
+1.60840000000E+008, -6.76264837877E+001, +0.00000000000E+000
+1.65835000000E+008, -7.86572064861E+001, +0.00000000000E+000
+1.70830000000E+008, -7.84943473503E+001, +0.00000000000E+000
+1.75825000000E+008, -6.75957879208E+001, +0.00000000000E+000
+1.80820000000E+008, -6.50006165842E+001, +0.00000000000E+000
+1.85815000000E+008, -6.46425604672E+001, +0.00000000000E+000
