S11, S12, S21, S22 (Re + jIm format)
10.0000000000000000000 MHz,-0.99986115897667071639 + j0.01666321605899603875 ,-0.00000000000001820134 - j0.00000000000000041227 ,0.00000000001281357210 + j0.00000000000008908328 ,-0.99986116101176059079 + j0.01666309394383508335 
20.0000000000000000000 MHz,-0.99944447830982996450 + j0.03332768744465496730 ,-0.00000000000116651830 - j0.00000000000000375169 ,0.00000000082048299536 - j0.00000000002311750498 ,-0.99944451088152075346 + j0.03332671062524451833 
30.0000000000000000000 MHz,-0.99874948357344928151 + j0.04999468741473525601 ,-0.00000000001332539171 + j0.00000000000009172348 ,0.00000000935857983609 - j0.00000000050534912042 ,-0.99874964855439896105 + j0.04999139122214294600 
40.0000000000000000000 MHz,-0.99777537857970399759 + j0.06666552522229986233 ,-0.00000000007517634887 + j0.00000000000110417133 ,0.00000005268695489563 - j0.00000000408677813524 ,-0.99777590038652563820 + j0.06665771392562382103 
50.0000000000000000000 MHz,-0.99652103706988570675 + j0.08334156444762802485 ,-0.00000000028828817852 + j0.00000000000623074150 ,0.00000020150215823895 - j0.00000002021282972632 ,-0.99652231222944176459 + j0.08332631277947570581 
60.0000000000000000000 MHz,-0.99498499089440461951 + j0.10002424173538246310 ,-0.00000000086639451953 + j0.00000000002438020749 ,0.00000060358373418467 - j0.00000007407453681593 ,-0.99498763817192537040 + j0.09999789692393735996 
70.0000000000000000000 MHz,-0.99316541448882766918 + j0.11671508607905266286 ,-0.00000000220148393849 + j0.00000000007591360265 ,0.00000152771684353289 - j0.00000022157714380414 ,-0.99317032575740882283 + j0.11667327038637689829 
80.0000000000000000000 MHz,-0.99106010538925104481 + j0.13341573880069756974 ,-0.00000000494888149514 + j0.00000000020169977802 ,0.00000341880826000722 - j0.00000057224723500347 ,-0.99106849743507785533 + j0.13335335256850699981 
90.0000000000000000000 MHz,-0.98866646045984429847 + j0.15012797438157662877 ,-0.00000001013413547722 + j0.00000000047662212259 ,0.00000696510252746534 - j0.00000132228404117705 ,-0.98867992793618209024 + j0.15003919958855407857 
100.000000000000000000 MHz,-0.98598144742611493196 + j0.16685372230841558072 ,-0.00000001928525818589 + j0.00000000102897625237 ,0.00001317861377296692 - j0.00000280034356359427 ,-0.98600201719207003492 + j0.16673202664757894031 
110.000000000000000000 MHz,-0.98300157121694242690 + j0.18359509011082358887 ,-0.00000003459473371889 + j0.00000000206759496712 ,0.00002349012039878702 - j0.00000552913298371513 ,-0.98303175832471634266 + j0.18343323160200025734 
120.000000000000000000 MHz,-0.97972283451389274855 + j0.20035438777775421704 ,-0.00000005911673296540 + j0.00000000391905104689 ,0.00003986032888252660 - j0.00001030651126944448 ,-0.97976570014132202679 + j0.20014441993941475828 
130.000000000000000000 MHz,-0.97614069178433993113 + j0.21713415375484904080 ,-0.00000009700620856078 + j0.00000000707795340879 ,0.00006490910359625508 - j0.00001831057073278016 ,-0.97619990344862805909 + j0.21686743137213010391 
140.000000000000000000 MHz,-0.97224999593131822273 + j0.23393718273990113388 ,-0.00000015380803235079 + j0.00000001227421124540 ,0.00010206498630126941 - j0.00003123415330724287 ,-0.97232989036589434484 + j0.23360436828251845975 
150.000000000000000000 MHz,-0.96804493652270029447 + j0.25076655551033810720 ,-0.00000023680614971222 + j0.00000002056225154172 ,0.00015573759589099939 - j0.00005145548586047039 ,-0.96815058565308120819 + j0.25035762627639163158 
160.000000000000000000 MHz,-0.96351896835889150328 + j0.26762567103417728154 ,-0.00000035544493990122 + j0.00000003343861408938 ,0.00023151590940285568 - j0.00008225316737516447 ,-0.96365624887649514729 + j0.26712992712504346482 
170.000000000000000000 MHz,-0.95866472889383735900 + j0.28451828113377802820 ,-0.00000052183769138176 + j0.00000005299621625027 ,0.00033639588116306842 - j0.00012807569347400311 ,-0.95884039600031678585 + j0.28392435440323388063 
180.000000000000000000 MHz,-0.95347394272882401989 + j0.30144852798900223512 ,-0.00000075138045456399 + j0.00000008212601277445 ,0.00047904135732892419 - j0.00019487817262100075 ,-0.95369570870933617623 + j0.30074439215880904852 
190.000000000000000000 MHz,-0.94793731103976042185 + j0.31842098478169283959 ,-0.00000106349368476143 + j0.00000012477995570975 ,0.00067008278262969674 - j0.00029054201979622447 ,-0.94821392942362392464 + j0.31759396697916975061 
