"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -6.83459303737E+001, +0.00000000000E+000
+1.04500000000E+008, -6.56708538036E+001, +0.00000000000E+000
+1.09000000000E+008, -5.96074940744E+001, +0.00000000000E+000
+1.13500000000E+008, -7.86771130751E+001, +0.00000000000E+000
+1.18000000000E+008, -7.09997236585E+001, +0.00000000000E+000
+1.22500000000E+008, -6.50031604204E+001, +0.00000000000E+000
+1.27000000000E+008, -6.38931147673E+001, +0.00000000000E+000
+1.31500000000E+008, -6.67160277131E+001, +0.00000000000E+000
+1.36000000000E+008, -8.00954543226E+001, +0.00000000000E+000
+1.40500000000E+008, -6.68154117896E+001, +0.00000000000E+000
+1.45000000000E+008, -7.41358314758E+001, +0.00000000000E+000
+1.49500000000E+008, -7.21641473658E+001, +0.00000000000E+000
+1.54000000000E+008, -7.28358483431E+001, +0.00000000000E+000
+1.58500000000E+008, -7.29778090424E+001, +0.00000000000E+000
+1.63000000000E+008, -6.81217411635E+001, +0.00000000000E+000
+1.67500000000E+008, -6.07081715695E+001, +0.00000000000E+000
+1.72000000000E+008, -7.86703199340E+001, +0.00000000000E+000
+1.76500000000E+008, -6.53427096811E+001, +0.00000000000E+000
+1.81000000000E+008, -6.72190112610E+001, +0.00000000000E+000
+1.85500000000E+008, -6.68178991968E+001, +0.00000000000E+000
+1.90000000000E+008, -7.44005976928E+001, +0.00000000000E+000
+1.94500000000E+008, -7.66505933056E+001, +0.00000000000E+000
+1.99000000000E+008, -6.88790894955E+001, +0.00000000000E+000
+2.03500000000E+008, -6.69780795289E+001, +0.00000000000E+000
+2.08000000000E+008, -6.69820369503E+001, +0.00000000000E+000
+2.12500000000E+008, -6.48515991230E+001, +0.00000000000E+000
+2.17000000000E+008, -6.49132018070E+001, +0.00000000000E+000
+2.21500000000E+008, -5.88324224736E+001, +0.00000000000E+000
+2.26000000000E+008, -6.76004248713E+001, +0.00000000000E+000
+2.30500000000E+008, -5.76671172715E+001, +0.00000000000E+000
+2.35000000000E+008, -5.77830272885E+001, +0.00000000000E+000
+2.39500000000E+008, -6.27921839653E+001, +0.00000000000E+000
+2.44000000000E+008, -5.71232768412E+001, +0.00000000000E+000
+2.48500000000E+008, -5.42468148980E+001, +0.00000000000E+000
+2.53000000000E+008, -5.90400843543E+001, +0.00000000000E+000
+2.57500000000E+008, -5.36061658346E+001, +0.00000000000E+000
+2.62000000000E+008, -5.25346414528E+001, +0.00000000000E+000
+2.66500000000E+008, -5.37232999903E+001, +0.00000000000E+000
+2.71000000000E+008, -5.16733599044E+001, +0.00000000000E+000
+2.75500000000E+008, -5.38439181109E+001, +0.00000000000E+000
+2.80000000000E+008, -5.10536406999E+001, +0.00000000000E+000
+2.84500000000E+008, -5.18638595215E+001, +0.00000000000E+000
+2.89000000000E+008, -4.97840393141E+001, +0.00000000000E+000
+2.93500000000E+008, -4.69273326584E+001, +0.00000000000E+000
+2.98000000000E+008, -4.62138501633E+001, +0.00000000000E+000
+3.02500000000E+008, -4.54351673745E+001, +0.00000000000E+000
+3.07000000000E+008, -4.37726459423E+001, +0.00000000000E+000
+3.11500000000E+008, -4.27859417520E+001, +0.00000000000E+000
+3.16000000000E+008, -4.12969222002E+001, +0.00000000000E+000
+3.20500000000E+008, -4.07447929401E+001, +0.00000000000E+000
+3.25000000000E+008, -3.83368097452E+001, +0.00000000000E+000
+3.29500000000E+008, -3.82152212425E+001, +0.00000000000E+000
+3.34000000000E+008, -3.65564814255E+001, +0.00000000000E+000
+3.38500000000E+008, -3.48244092665E+001, +0.00000000000E+000
+3.43000000000E+008, -3.39031836916E+001, +0.00000000000E+000
+3.47500000000E+008, -3.35037881070E+001, +0.00000000000E+000
+3.52000000000E+008, -3.15994233523E+001, +0.00000000000E+000
+3.56500000000E+008, -3.00585265940E+001, +0.00000000000E+000
+3.61000000000E+008, -3.03943137851E+001, +0.00000000000E+000
+3.65500000000E+008, -2.81849831622E+001, +0.00000000000E+000
+3.70000000000E+008, -2.62237327904E+001, +0.00000000000E+000
+3.74500000000E+008, -2.52499592734E+001, +0.00000000000E+000
+3.79000000000E+008, -2.37087164964E+001, +0.00000000000E+000
+3.83500000000E+008, -2.21149676574E+001, +0.00000000000E+000
+3.88000000000E+008, -2.05418041364E+001, +0.00000000000E+000
+3.92500000000E+008, -1.85999020675E+001, +0.00000000000E+000
+3.97000000000E+008, -1.76585626187E+001, +0.00000000000E+000
+4.01500000000E+008, -1.56289202669E+001, +0.00000000000E+000
+4.06000000000E+008, -1.35056896781E+001, +0.00000000000E+000
+4.10500000000E+008, -1.24183051200E+001, +0.00000000000E+000
+4.15000000000E+008, -1.02105790684E+001, +0.00000000000E+000
+4.19500000000E+008, -7.86254377632E+000, +0.00000000000E+000
+4.24000000000E+008, -5.53945450564E+000, +0.00000000000E+000
+4.28500000000E+008, -3.60653177354E+000, +0.00000000000E+000
+4.33000000000E+008, -1.41798762687E+000, +0.00000000000E+000
+4.37500000000E+008, -3.15659691449E-002, +0.00000000000E+000
+4.42000000000E+008, +9.85710480153E-001, +0.00000000000E+000
+4.46500000000E+008, +7.90294339486E-001, +0.00000000000E+000
+4.51000000000E+008, +9.66195402632E-001, +0.00000000000E+000
+4.55500000000E+008, +1.29358936683E-001, +0.00000000000E+000
+4.60000000000E+008, -1.99285840212E-001, +0.00000000000E+000
+4.64500000000E+008, -1.45153216474E-001, +0.00000000000E+000
+4.69000000000E+008, -3.69865711592E-001, +0.00000000000E+000
+4.73500000000E+008, -6.84822328236E-001, +0.00000000000E+000
+4.78000000000E+008, -1.02022345875E+000, +0.00000000000E+000
+4.82500000000E+008, -1.93041562942E+000, +0.00000000000E+000
+4.87000000000E+008, -1.85026083863E+000, +0.00000000000E+000
+4.91500000000E+008, -2.92797100611E+000, +0.00000000000E+000
+4.96000000000E+008, -2.90787846078E+000, +0.00000000000E+000
+5.00500000000E+008, -3.65452851296E+000, +0.00000000000E+000
+5.05000000000E+008, -4.62555765862E+000, +0.00000000000E+000
+5.09500000000E+008, -4.81953266745E+000, +0.00000000000E+000
+5.14000000000E+008, -6.17047780427E+000, +0.00000000000E+000
+5.18500000000E+008, -6.02184887458E+000, +0.00000000000E+000
+5.23000000000E+008, -7.05554159412E+000, +0.00000000000E+000
+5.27500000000E+008, -7.23783513126E+000, +0.00000000000E+000
+5.32000000000E+008, -7.48580941893E+000, +0.00000000000E+000
+5.36500000000E+008, -8.36773364371E+000, +0.00000000000E+000
+5.41000000000E+008, -8.43369450264E+000, +0.00000000000E+000
+5.45500000000E+008, -9.07402980699E+000, +0.00000000000E+000
