freq, S11, S12, S21, S22 (Re + jIm format)
10.0000000000000000000 MHz,-0.98009641076270614946 + j0.01404196517458699243 ,0.00000000000001633699 + j0.00000000000000109586 ,-0.00000000001119284535 - j0.00000000000053525313 ,-0.98009667417171797421 + j0.01404205897718675822 
11.0000000000000000000 MHz,-0.98007507149453088058 + j0.01544615973139587366 ,0.00000000000002353999 + j0.00000000000000582514 ,-0.00000000001619028155 - j0.00000000000364548079 ,-0.98007539056706116654 + j0.01544624189845409182 
12.0000000000000000000 MHz,-0.98005169936935065955 + j0.01685035373145171711 ,0.00000000000003238947 + j0.00000000000001376400 ,-0.00000000002237649116 - j0.00000000000890631086 ,-0.98005207954515238811 + j0.01685041825858981171 
13.0000000000000000000 MHz,-0.98002629423823439669 + j0.01825454712570099419 ,0.00000000000004283935 + j0.00000000000002606480 ,-0.00000000002975194981 - j0.00000000001709989346 ,-0.98002674099483766401 + j0.01825458746274972316 
14.0000000000000000000 MHz,-0.97999885593926816529 + j0.01965873986549738356 ,0.00000000000005470548 + j0.00000000000004410540 ,-0.00000000003823285424 - j0.00000000002916510855 ,-0.97999937479526422202 + j0.01965874891651289008 
15.0000000000000000000 MHz,-0.97996938429753754907 + j0.02106293190263561904 ,0.00000000000006763210 + j0.00000000000006950833 ,-0.00000000004763004101 - j0.00000000004621216706 ,-0.97996998081587227691 + j0.02106290202591697483 
16.0000000000000000000 MHz,-0.97993787912511942650 + j0.02246712318938553707 ,0.00000000000008105545 + j0.00000000000010416017 ,-0.00000000005762621820 - j0.00000000006953758229 ,-0.97993855891638614874 + j0.02246704619749355369 
17.0000000000000000000 MHz,-0.97990434022107597567 + j0.02387131367852604602 ,0.00000000000009416481 + j0.00000000000015023087 ,-0.00000000006775151005 - j0.00000000010063954046 ,-0.97990510894680438181 + j0.02387118083830341506 
18.0000000000000000000 MHz,-0.97986876737143380200 + j0.02527550332337907477 ,0.00000000000010586073 + j0.00000000000021019336 ,-0.00000000007735731428 - j0.00000000014123369925 ,-0.97986963074738941959 + j0.02527530535597189570 
19.0000000000000000000 MHz,-0.97983116034917994153 + j0.02667969207784364263 ,0.00000000000011471048 + j0.00000000000028684319 ,-0.00000000008558847225 - j0.00000000019326944314 ,-0.97983212414865694662 + j0.02667941915872424838 
20.0000000000000000000 MHz,-0.97979151891424498544 + j0.02808387989642980795 ,0.00000000000011890086 + j0.00000000000038331827 ,-0.00000000009135375144 - j0.00000000025894662472 ,-0.97979258897136389805 + j0.02808352165542096768 
21.0000000000000000000 MHz,-0.97974984281348720394 + j0.02948806673429271372 ,0.00000000000011618816 + j0.00000000000050311887 ,-0.00000000009329464050 - j0.00000000034073282069 ,-0.97975102502649635827 + j0.02948761225559314025 
