freq, S11, S12, S21, S22 (Re + jIm format)
10.0000000000000000000 MHz,-0.99993023021877336376 + j0.01181248045852659537 ,-0.00000000000000217985 - j0.00000000000000006116 ,0.00000000000153472386 + j0.00000000000001896559 ,-0.99993023099553901556 + j0.01181241470471298440 
11.0000000000000000000 MHz,-0.99991557766968708343 + j0.01299374978253784417 ,-0.00000000000000386171 - j0.00000000000000009849 ,0.00000000000271871367 + j0.00000000000002239069 ,-0.99991557880696935179 + j0.01299366226402651203 
12.0000000000000000000 MHz,-0.99989952928318803771 + j0.01417502518925628681 ,-0.00000000000000650907 - j0.00000000000000015217 ,0.00000000000458227964 + j0.00000000000002080649 ,-0.99989953089394767449 + j0.01417491156616197158 
13.0000000000000000000 MHz,-0.99988208496198738295 + j0.01535630723312527215 ,-0.00000000000001052225 - j0.00000000000000022706 ,0.00000000000740709862 + j0.00000000000000869171 ,-0.99988208718063376068 + j0.01535616277099102235 
14.0000000000000000000 MHz,-0.99986324460031494876 + j0.01653759646897178665 ,-0.00000000000001641501 - j0.00000000000000032892 ,0.00000000001155461918 - j0.00000000000002237413 ,-0.99986324758457378881 + j0.01653741603875935259 
15.0000000000000000000 MHz,-0.99984300808391435300 + j0.01771889345203846514 ,-0.00000000000002483425 - j0.00000000000000046446 ,0.00000000001747989359 - j0.00000000000008461026 ,-0.99984301201669523174 + j0.01771867153011797910 
16.0000000000000000000 MHz,-0.99982137529003700660 + j0.01890019873801568676 ,-0.00000000000003658134 - j0.00000000000000064141 ,0.00000000002574652119 - j0.00000000000019509253 ,-0.99982138038130230484 + j0.01889992940615441847 
17.0000000000000000000 MHz,-0.99979834608743600732 + j0.02008151288307362392 ,-0.00000000000005263497 - j0.00000000000000086864 ,0.00000000003704270449 - j0.00000000000037698189 ,-0.99979835257607008181 + j0.02008118982842399189 
18.0000000000000000000 MHz,-0.99977392033635958946 + j0.02126283644389434513 ,-0.00000000000007417567 - j0.00000000000000115617 ,0.00000000005219841912 - j0.00000000000066093573 ,-0.99977392849203883252 + j0.02126245295898111787 
19.0000000000000000000 MHz,-0.99974809788854390735 + j0.02244416997770390387 ,-0.00000000000010261193 - j0.00000000000000151529 ,0.00000000007220369900 - j0.00000000000108671459 ,-0.99974810801360758372 + j0.02244371896041055109 
20.0000000000000000000 MHz,-0.99972087858720626308 + j0.02362551404230450736 ,-0.00000000000013960792 - j0.00000000000000195860 ,0.00000000009822803809 - j0.00000000000170499656 ,-0.99972089101852756876 + j0.02362498799585878786 
21.0000000000000000000 MHz,-0.99969226226703611360 + j0.02480686919610663663 ,-0.00000000000018711278 - j0.00000000000000250013 ,0.00000000013164091024 - j0.00000000000257941187 ,-0.99969227737789523314 + j0.02480626022906532585 
22.0000000000000000000 MHz,-0.99966224875418796536 + j0.02598823599816127775 ,-0.00000000000024739167 - j0.00000000000000315535 ,0.00000000017403340874 - j0.00000000000378881014 ,-0.99966226695614512909 + j0.02598753582439407989 
23.0000000000000000000 MHz,-0.99963083786627160432 + j0.02716961500819205233 ,-0.00000000000032305827 - j0.00000000000000394129 ,0.00000000022724100712 - j0.00000000000542977277 ,-0.99963085961104147792 + j0.02716881494686474233 
24.0000000000000000000 MHz,-0.99959802941234376927 + j0.02835100678662752505 ,-0.00000000000041710908 - j0.00000000000000487660 ,0.00000000029336744306 - j0.00000000000761938316 ,-0.99959805519367050941 + j0.02835009776218420235 
25.0000000000000000000 MHz,-0.99956382319289793781 + j0.02953241189463342090 ,-0.00000000000053295925 - j0.00000000000000598160 ,0.00000000037480972721 - j0.00000000001049826729 ,-0.99956385354843169111 + j0.02953138443677794100 
26.0000000000000000000 MHz,-0.99952821899985477838 + j0.03071383089414491882 ,-0.00000000000067448012 - j0.00000000000000727835 ,0.00000000047428427885 - j0.00000000001423391733 ,-0.99952825451302895754 + j0.03071267513782155109 
